,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:dart:dart_software_development_kit:1.2.0:dev5.12:*:*:*:*:*:*,Dart Software Development Kit (SDK) 1.2.0 Dev 5.12,"['CVE-2020-8923', 'CVE-2021-22540', 'CVE-2021-22567', 'CVE-2021-22568', 'CVE-2022-0451']",2022-03-20T10:09Z
1,cpe:2.3:a:dart:dart_software_development_kit:1.2.0:dev5.13:*:*:*:*:*:*,Dart Software Development Kit (SDK) 1.2.0 Dev 5.13,"['CVE-2020-8923', 'CVE-2021-22540', 'CVE-2021-22567', 'CVE-2021-22568', 'CVE-2022-0451']",2022-03-20T10:09Z
2,cpe:2.3:a:dart:dart_software_development_kit:1.2.0:dev5.14:*:*:*:*:*:*,Dart Software Development Kit (SDK) 1.2.0 Dev 5.14,"['CVE-2020-8923', 'CVE-2021-22540', 'CVE-2021-22567', 'CVE-2021-22568', 'CVE-2022-0451']",2022-03-20T10:09Z
3,cpe:2.3:a:dart:dart_software_development_kit:1.2.0:dev5.15:*:*:*:*:*:*,Dart Software Development Kit (SDK) 1.2.0 Dev 5.15,"['CVE-2020-8923', 'CVE-2021-22540', 'CVE-2021-22567', 'CVE-2021-22568', 'CVE-2022-0451']",2022-03-20T10:09Z
4,cpe:2.3:a:dart:dart_software_development_kit:1.2.0:dev5.2:*:*:*:*:*:*,Dart Software Development Kit (SDK) 1.2.0 Dev 5.2,"['CVE-2020-8923', 'CVE-2021-22540', 'CVE-2021-22567', 'CVE-2021-22568', 'CVE-2022-0451']",2022-03-20T10:09Z
5,cpe:2.3:a:dart:dart_software_development_kit:1.2.0:dev5.3:*:*:*:*:*:*,Dart Software Development Kit (SDK) 1.2.0 Dev 5.3,"['CVE-2020-8923', 'CVE-2021-22540', 'CVE-2021-22567', 'CVE-2021-22568', 'CVE-2022-0451']",2022-03-20T10:09Z
6,cpe:2.3:a:dart:dart_software_development_kit:1.2.0:dev5.4:*:*:*:*:*:*,Dart Software Development Kit (SDK) 1.2.0 Dev 5.4,"['CVE-2020-8923', 'CVE-2021-22540', 'CVE-2021-22567', 'CVE-2021-22568', 'CVE-2022-0451']",2022-03-20T10:09Z
7,cpe:2.3:a:dart:dart_software_development_kit:1.2.0:dev5.5:*:*:*:*:*:*,Dart Software Development Kit (SDK) 1.2.0 Dev 5.5,"['CVE-2020-8923', 'CVE-2021-22540', 'CVE-2021-22567', 'CVE-2021-22568', 'CVE-2022-0451']",2022-03-20T10:09Z
8,cpe:2.3:a:dart:dart_software_development_kit:1.2.0:dev5.6:*:*:*:*:*:*,Dart Software Development Kit (SDK) 1.2.0 Dev 5.6,"['CVE-2020-8923', 'CVE-2021-22540', 'CVE-2021-22567', 'CVE-2021-22568', 'CVE-2022-0451']",2022-03-20T10:09Z
9,cpe:2.3:a:dart:dart_software_development_kit:1.2.0:dev5.7:*:*:*:*:*:*,Dart Software Development Kit (SDK) 1.2.0 Dev 5.7,"['CVE-2020-8923', 'CVE-2021-22540', 'CVE-2021-22567', 'CVE-2021-22568', 'CVE-2022-0451']",2022-03-20T10:09Z
