,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:cprime:power_scripts:2.5.2:*:*:*:*:jira:*:*,cPrime Power Scripts 2.5.2 for Jira,['CVE-2019-9005'],2022-03-20T08:35Z
1,cpe:2.3:a:cprime:power_scripts:2.5.3:*:*:*:*:jira:*:*,cPrime Power Scripts 2.5.3 for Jira,['CVE-2019-9005'],2022-03-20T08:35Z
2,cpe:2.3:a:cprime:power_scripts:2.5.4:*:*:*:*:jira:*:*,cPrime Power Scripts 2.5.4 for Jira,['CVE-2019-9005'],2022-03-20T08:35Z
3,cpe:2.3:a:cprime:power_scripts:2.5.5:*:*:*:*:jira:*:*,cPrime Power Scripts 2.5.5 for Jira,['CVE-2019-9005'],2022-03-20T08:35Z
4,cpe:2.3:a:cprime:power_scripts:2.5.6:*:*:*:*:jira:*:*,cPrime Power Scripts 2.5.6 for Jira,['CVE-2019-9005'],2022-03-20T08:35Z
5,cpe:2.3:a:cprime:power_scripts:2.5.7:*:*:*:*:jira:*:*,cPrime Power Scripts 2.5.7 for Jira,['CVE-2019-9005'],2022-03-20T08:35Z
6,cpe:2.3:a:cprime:power_scripts:2.5.8:*:*:*:*:jira:*:*,cPrime Power Scripts 2.5.8 for Jira,['CVE-2019-9005'],2022-03-20T08:35Z
7,cpe:2.3:a:cprime:power_scripts:2.5.9:*:*:*:*:jira:*:*,cPrime Power Scripts 2.5.9 for Jira,['CVE-2019-9005'],2022-03-20T08:35Z
8,cpe:2.3:a:cprime:power_scripts:2.5.10:*:*:*:*:jira:*:*,cPrime Power Scripts 2.5.10 for Jira,['CVE-2019-9005'],2022-03-20T08:35Z
9,cpe:2.3:a:cprime:power_scripts:2.5.11:*:*:*:*:jira:*:*,cPrime Power Scripts 2.5.11 for Jira,['CVE-2019-9005'],2022-03-20T08:35Z
