,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:cpanel:cpanel:70.0.31:*:*:*:*:*:*:*,cPanel 70.0.31,"['CVE-2006-0763', 'CVE-2006-1119', 'CVE-2006-2825', 'CVE-2008-6926', 'CVE-2008-6927', 'CVE-2009-2275', 'CVE-2018-16236', 'CVE-2018-20862', 'CVE-2018-20863', 'CVE-2018-20864', 'CVE-2018-20865', 'CVE-2018-20866', 'CVE-2018-20867', 'CVE-2018-20868', 'CVE-2018-20869', 'CVE-2018-20870', 'CVE-2018-20873', 'CVE-2018-20874', 'CVE-2018-20875', 'CVE-2018-20876', 'CVE-2018-20877', 'CVE-2018-20878', 'CVE-2018-20879', 'CVE-2018-20880', 'CVE-2018-20881', 'CVE-2018-20882', 'CVE-2018-20883', 'CVE-2018-20884', 'CVE-2018-20885', 'CVE-2018-20886', 'CVE-2018-20887', 'CVE-2018-20888', 'CVE-2018-20889', 'CVE-2018-20890', 'CVE-2018-20891', 'CVE-2018-20892', 'CVE-2018-20893', 'CVE-2018-20895', 'CVE-2018-20896', 'CVE-2018-20897', 'CVE-2018-20898', 'CVE-2018-20899', 'CVE-2018-20900', 'CVE-2018-20901', 'CVE-2018-20902', 'CVE-2018-20903', 'CVE-2018-20904', 'CVE-2018-20905', 'CVE-2018-20906', 'CVE-2018-20907', 'CVE-2018-20908', 'CVE-2019-14386', 'CVE-2019-14387', 'CVE-2019-14388', 'CVE-2019-14389', 'CVE-2019-14390', 'CVE-2019-14391', 'CVE-2019-14392', 'CVE-2019-14393', 'CVE-2019-14394', 'CVE-2019-14395', 'CVE-2019-14396', 'CVE-2019-14397', 'CVE-2019-14398', 'CVE-2019-14399', 'CVE-2019-14400', 'CVE-2019-14401', 'CVE-2019-14402', 'CVE-2019-14403', 'CVE-2019-14404', 'CVE-2019-14405', 'CVE-2019-14406', 'CVE-2019-14407', 'CVE-2019-14408', 'CVE-2019-14409', 'CVE-2019-14410', 'CVE-2019-14411', 'CVE-2019-14412', 'CVE-2019-14413', 'CVE-2019-14414', 'CVE-2019-17380', 'CVE-2020-10119', 'CVE-2020-10120', 'CVE-2020-26098', 'CVE-2020-26099', 'CVE-2020-26100', 'CVE-2020-26101', 'CVE-2020-26102', 'CVE-2020-26103', 'CVE-2020-26104', 'CVE-2020-26105', 'CVE-2020-26106', 'CVE-2020-26107', 'CVE-2020-26108', 'CVE-2020-26109', 'CVE-2020-26110', 'CVE-2020-26111', 'CVE-2020-26112', 'CVE-2020-26113', 'CVE-2020-26114', 'CVE-2020-26115', 'CVE-2020-29135', 'CVE-2020-29136', 'CVE-2020-29137', 'CVE-2021-26266', 'CVE-2021-26267', 'CVE-2021-31803', 'CVE-2021-38584', 'CVE-2021-38585', 'CVE-2021-38587', 'CVE-2021-38588']",2022-03-20T08:30Z
1,cpe:2.3:a:cpanel:cpanel:70.0.32:*:*:*:*:*:*:*,cPanel 70.0.32,"['CVE-2006-0763', 'CVE-2006-1119', 'CVE-2006-2825', 'CVE-2008-6926', 'CVE-2008-6927', 'CVE-2009-2275', 'CVE-2018-16236', 'CVE-2018-20862', 'CVE-2018-20863', 'CVE-2018-20864', 'CVE-2018-20865', 'CVE-2018-20866', 'CVE-2018-20867', 'CVE-2018-20868', 'CVE-2018-20869', 'CVE-2018-20870', 'CVE-2018-20873', 'CVE-2018-20874', 'CVE-2018-20875', 'CVE-2018-20876', 'CVE-2018-20877', 'CVE-2018-20878', 'CVE-2018-20879', 'CVE-2018-20880', 'CVE-2018-20881', 'CVE-2018-20882', 'CVE-2018-20883', 'CVE-2018-20884', 'CVE-2018-20885', 'CVE-2018-20886', 'CVE-2018-20887', 'CVE-2018-20888', 'CVE-2018-20889', 'CVE-2018-20890', 'CVE-2018-20891', 'CVE-2018-20892', 'CVE-2018-20893', 'CVE-2018-20895', 'CVE-2018-20896', 'CVE-2018-20897', 'CVE-2018-20898', 'CVE-2018-20899', 'CVE-2018-20900', 'CVE-2018-20901', 'CVE-2018-20902', 'CVE-2018-20903', 'CVE-2018-20904', 'CVE-2018-20905', 'CVE-2018-20906', 'CVE-2018-20907', 'CVE-2018-20908', 'CVE-2019-14386', 'CVE-2019-14387', 'CVE-2019-14388', 'CVE-2019-14389', 'CVE-2019-14390', 'CVE-2019-14391', 'CVE-2019-14392', 'CVE-2019-14393', 'CVE-2019-14394', 'CVE-2019-14395', 'CVE-2019-14396', 'CVE-2019-14397', 'CVE-2019-14398', 'CVE-2019-14399', 'CVE-2019-14400', 'CVE-2019-14401', 'CVE-2019-14402', 'CVE-2019-14403', 'CVE-2019-14404', 'CVE-2019-14405', 'CVE-2019-14406', 'CVE-2019-14407', 'CVE-2019-14408', 'CVE-2019-14409', 'CVE-2019-14410', 'CVE-2019-14411', 'CVE-2019-14412', 'CVE-2019-14413', 'CVE-2019-14414', 'CVE-2019-17380', 'CVE-2020-10119', 'CVE-2020-10120', 'CVE-2020-26098', 'CVE-2020-26099', 'CVE-2020-26100', 'CVE-2020-26101', 'CVE-2020-26102', 'CVE-2020-26103', 'CVE-2020-26104', 'CVE-2020-26105', 'CVE-2020-26106', 'CVE-2020-26107', 'CVE-2020-26108', 'CVE-2020-26109', 'CVE-2020-26110', 'CVE-2020-26111', 'CVE-2020-26112', 'CVE-2020-26113', 'CVE-2020-26114', 'CVE-2020-26115', 'CVE-2020-29135', 'CVE-2020-29136', 'CVE-2020-29137', 'CVE-2021-26266', 'CVE-2021-26267', 'CVE-2021-31803', 'CVE-2021-38584', 'CVE-2021-38585', 'CVE-2021-38587', 'CVE-2021-38588']",2022-03-20T08:30Z
2,cpe:2.3:a:cpanel:cpanel:70.0.34:*:*:*:*:*:*:*,cPanel 70.0.34,"['CVE-2006-0763', 'CVE-2006-1119', 'CVE-2006-2825', 'CVE-2008-6926', 'CVE-2008-6927', 'CVE-2009-2275', 'CVE-2018-16236', 'CVE-2018-20862', 'CVE-2018-20863', 'CVE-2018-20864', 'CVE-2018-20865', 'CVE-2018-20866', 'CVE-2018-20867', 'CVE-2018-20868', 'CVE-2018-20869', 'CVE-2018-20870', 'CVE-2018-20873', 'CVE-2018-20874', 'CVE-2018-20875', 'CVE-2018-20876', 'CVE-2018-20877', 'CVE-2018-20878', 'CVE-2018-20879', 'CVE-2018-20880', 'CVE-2018-20881', 'CVE-2018-20882', 'CVE-2018-20883', 'CVE-2018-20884', 'CVE-2018-20885', 'CVE-2018-20886', 'CVE-2018-20887', 'CVE-2018-20888', 'CVE-2018-20889', 'CVE-2018-20890', 'CVE-2018-20891', 'CVE-2018-20892', 'CVE-2018-20893', 'CVE-2018-20895', 'CVE-2018-20896', 'CVE-2018-20897', 'CVE-2018-20898', 'CVE-2018-20899', 'CVE-2018-20900', 'CVE-2018-20901', 'CVE-2018-20902', 'CVE-2018-20903', 'CVE-2018-20904', 'CVE-2018-20905', 'CVE-2018-20906', 'CVE-2018-20907', 'CVE-2018-20908', 'CVE-2019-14386', 'CVE-2019-14387', 'CVE-2019-14388', 'CVE-2019-14389', 'CVE-2019-14390', 'CVE-2019-14391', 'CVE-2019-14392', 'CVE-2019-14393', 'CVE-2019-14394', 'CVE-2019-14395', 'CVE-2019-14396', 'CVE-2019-14397', 'CVE-2019-14398', 'CVE-2019-14399', 'CVE-2019-14400', 'CVE-2019-14401', 'CVE-2019-14402', 'CVE-2019-14403', 'CVE-2019-14404', 'CVE-2019-14405', 'CVE-2019-14406', 'CVE-2019-14407', 'CVE-2019-14408', 'CVE-2019-14409', 'CVE-2019-14410', 'CVE-2019-14411', 'CVE-2019-14412', 'CVE-2019-14413', 'CVE-2019-14414', 'CVE-2019-17380', 'CVE-2020-10119', 'CVE-2020-10120', 'CVE-2020-26098', 'CVE-2020-26099', 'CVE-2020-26100', 'CVE-2020-26101', 'CVE-2020-26102', 'CVE-2020-26103', 'CVE-2020-26104', 'CVE-2020-26105', 'CVE-2020-26106', 'CVE-2020-26107', 'CVE-2020-26108', 'CVE-2020-26109', 'CVE-2020-26110', 'CVE-2020-26111', 'CVE-2020-26112', 'CVE-2020-26113', 'CVE-2020-26114', 'CVE-2020-26115', 'CVE-2020-29135', 'CVE-2020-29136', 'CVE-2020-29137', 'CVE-2021-26266', 'CVE-2021-26267', 'CVE-2021-31803', 'CVE-2021-38584', 'CVE-2021-38585', 'CVE-2021-38587', 'CVE-2021-38588']",2022-03-20T08:30Z
3,cpe:2.3:a:cpanel:cpanel:70.0.38:*:*:*:*:*:*:*,cPanel 70.0.38,"['CVE-2006-0763', 'CVE-2006-1119', 'CVE-2006-2825', 'CVE-2008-6926', 'CVE-2008-6927', 'CVE-2009-2275', 'CVE-2018-16236', 'CVE-2018-20862', 'CVE-2018-20863', 'CVE-2018-20864', 'CVE-2018-20865', 'CVE-2018-20866', 'CVE-2018-20867', 'CVE-2018-20868', 'CVE-2018-20869', 'CVE-2018-20870', 'CVE-2018-20873', 'CVE-2018-20874', 'CVE-2018-20875', 'CVE-2018-20876', 'CVE-2018-20877', 'CVE-2018-20878', 'CVE-2018-20879', 'CVE-2018-20880', 'CVE-2018-20881', 'CVE-2018-20882', 'CVE-2018-20883', 'CVE-2018-20884', 'CVE-2018-20885', 'CVE-2018-20886', 'CVE-2018-20887', 'CVE-2018-20888', 'CVE-2018-20889', 'CVE-2018-20890', 'CVE-2018-20891', 'CVE-2018-20892', 'CVE-2018-20893', 'CVE-2018-20895', 'CVE-2018-20896', 'CVE-2018-20897', 'CVE-2018-20898', 'CVE-2018-20899', 'CVE-2018-20900', 'CVE-2018-20901', 'CVE-2018-20902', 'CVE-2018-20903', 'CVE-2018-20904', 'CVE-2018-20905', 'CVE-2018-20906', 'CVE-2018-20907', 'CVE-2018-20908', 'CVE-2019-14386', 'CVE-2019-14387', 'CVE-2019-14388', 'CVE-2019-14389', 'CVE-2019-14390', 'CVE-2019-14391', 'CVE-2019-14392', 'CVE-2019-14393', 'CVE-2019-14394', 'CVE-2019-14395', 'CVE-2019-14396', 'CVE-2019-14397', 'CVE-2019-14398', 'CVE-2019-14399', 'CVE-2019-14400', 'CVE-2019-14401', 'CVE-2019-14402', 'CVE-2019-14403', 'CVE-2019-14404', 'CVE-2019-14405', 'CVE-2019-14406', 'CVE-2019-14407', 'CVE-2019-14408', 'CVE-2019-14409', 'CVE-2019-14410', 'CVE-2019-14411', 'CVE-2019-14412', 'CVE-2019-14413', 'CVE-2019-14414', 'CVE-2019-17380', 'CVE-2020-10119', 'CVE-2020-10120', 'CVE-2020-26098', 'CVE-2020-26099', 'CVE-2020-26100', 'CVE-2020-26101', 'CVE-2020-26102', 'CVE-2020-26103', 'CVE-2020-26104', 'CVE-2020-26105', 'CVE-2020-26106', 'CVE-2020-26107', 'CVE-2020-26108', 'CVE-2020-26109', 'CVE-2020-26110', 'CVE-2020-26111', 'CVE-2020-26112', 'CVE-2020-26113', 'CVE-2020-26114', 'CVE-2020-26115', 'CVE-2020-29135', 'CVE-2020-29136', 'CVE-2020-29137', 'CVE-2021-26266', 'CVE-2021-26267', 'CVE-2021-31803', 'CVE-2021-38584', 'CVE-2021-38585', 'CVE-2021-38587', 'CVE-2021-38588']",2022-03-20T08:30Z
4,cpe:2.3:a:cpanel:cpanel:70.0.39:*:*:*:*:*:*:*,cPanel 70.0.39,"['CVE-2006-0763', 'CVE-2006-1119', 'CVE-2006-2825', 'CVE-2008-6926', 'CVE-2008-6927', 'CVE-2009-2275', 'CVE-2018-16236', 'CVE-2018-20862', 'CVE-2018-20863', 'CVE-2018-20864', 'CVE-2018-20865', 'CVE-2018-20866', 'CVE-2018-20867', 'CVE-2018-20868', 'CVE-2018-20869', 'CVE-2018-20870', 'CVE-2018-20873', 'CVE-2018-20874', 'CVE-2018-20875', 'CVE-2018-20876', 'CVE-2018-20877', 'CVE-2018-20878', 'CVE-2018-20879', 'CVE-2018-20880', 'CVE-2018-20881', 'CVE-2018-20882', 'CVE-2018-20883', 'CVE-2018-20884', 'CVE-2018-20885', 'CVE-2018-20886', 'CVE-2018-20887', 'CVE-2018-20888', 'CVE-2018-20889', 'CVE-2018-20890', 'CVE-2018-20891', 'CVE-2018-20892', 'CVE-2018-20893', 'CVE-2018-20895', 'CVE-2018-20896', 'CVE-2018-20897', 'CVE-2018-20898', 'CVE-2018-20899', 'CVE-2018-20900', 'CVE-2018-20901', 'CVE-2018-20902', 'CVE-2018-20903', 'CVE-2018-20904', 'CVE-2018-20905', 'CVE-2018-20906', 'CVE-2018-20907', 'CVE-2018-20908', 'CVE-2019-14386', 'CVE-2019-14387', 'CVE-2019-14388', 'CVE-2019-14389', 'CVE-2019-14390', 'CVE-2019-14391', 'CVE-2019-14392', 'CVE-2019-14393', 'CVE-2019-14394', 'CVE-2019-14395', 'CVE-2019-14396', 'CVE-2019-14397', 'CVE-2019-14398', 'CVE-2019-14399', 'CVE-2019-14400', 'CVE-2019-14401', 'CVE-2019-14402', 'CVE-2019-14403', 'CVE-2019-14404', 'CVE-2019-14405', 'CVE-2019-14406', 'CVE-2019-14407', 'CVE-2019-14408', 'CVE-2019-14409', 'CVE-2019-14410', 'CVE-2019-14411', 'CVE-2019-14412', 'CVE-2019-14413', 'CVE-2019-14414', 'CVE-2019-17380', 'CVE-2020-10119', 'CVE-2020-10120', 'CVE-2020-26098', 'CVE-2020-26099', 'CVE-2020-26100', 'CVE-2020-26101', 'CVE-2020-26102', 'CVE-2020-26103', 'CVE-2020-26104', 'CVE-2020-26105', 'CVE-2020-26106', 'CVE-2020-26107', 'CVE-2020-26108', 'CVE-2020-26109', 'CVE-2020-26110', 'CVE-2020-26111', 'CVE-2020-26112', 'CVE-2020-26113', 'CVE-2020-26114', 'CVE-2020-26115', 'CVE-2020-29135', 'CVE-2020-29136', 'CVE-2020-29137', 'CVE-2021-26266', 'CVE-2021-26267', 'CVE-2021-31803', 'CVE-2021-38584', 'CVE-2021-38585', 'CVE-2021-38587', 'CVE-2021-38588']",2022-03-20T08:30Z
5,cpe:2.3:a:cpanel:cpanel:70.0.41:*:*:*:*:*:*:*,cPanel 70.0.41,"['CVE-2006-0763', 'CVE-2006-1119', 'CVE-2006-2825', 'CVE-2008-6926', 'CVE-2008-6927', 'CVE-2009-2275', 'CVE-2018-16236', 'CVE-2018-20862', 'CVE-2018-20863', 'CVE-2018-20864', 'CVE-2018-20865', 'CVE-2018-20866', 'CVE-2018-20867', 'CVE-2018-20868', 'CVE-2018-20869', 'CVE-2018-20870', 'CVE-2018-20873', 'CVE-2018-20874', 'CVE-2018-20875', 'CVE-2018-20876', 'CVE-2018-20877', 'CVE-2018-20878', 'CVE-2018-20879', 'CVE-2018-20880', 'CVE-2018-20881', 'CVE-2018-20882', 'CVE-2018-20883', 'CVE-2018-20884', 'CVE-2018-20885', 'CVE-2018-20886', 'CVE-2018-20887', 'CVE-2018-20888', 'CVE-2018-20889', 'CVE-2018-20890', 'CVE-2018-20891', 'CVE-2018-20892', 'CVE-2018-20893', 'CVE-2018-20895', 'CVE-2018-20896', 'CVE-2018-20897', 'CVE-2018-20898', 'CVE-2018-20899', 'CVE-2018-20900', 'CVE-2018-20901', 'CVE-2018-20902', 'CVE-2018-20903', 'CVE-2018-20904', 'CVE-2018-20905', 'CVE-2018-20906', 'CVE-2018-20907', 'CVE-2018-20908', 'CVE-2019-14386', 'CVE-2019-14387', 'CVE-2019-14388', 'CVE-2019-14389', 'CVE-2019-14390', 'CVE-2019-14391', 'CVE-2019-14392', 'CVE-2019-14393', 'CVE-2019-14394', 'CVE-2019-14395', 'CVE-2019-14396', 'CVE-2019-14397', 'CVE-2019-14398', 'CVE-2019-14399', 'CVE-2019-14400', 'CVE-2019-14401', 'CVE-2019-14402', 'CVE-2019-14403', 'CVE-2019-14404', 'CVE-2019-14405', 'CVE-2019-14406', 'CVE-2019-14407', 'CVE-2019-14408', 'CVE-2019-14409', 'CVE-2019-14410', 'CVE-2019-14411', 'CVE-2019-14412', 'CVE-2019-14413', 'CVE-2019-14414', 'CVE-2019-17380', 'CVE-2020-10119', 'CVE-2020-10120', 'CVE-2020-26098', 'CVE-2020-26099', 'CVE-2020-26100', 'CVE-2020-26101', 'CVE-2020-26102', 'CVE-2020-26103', 'CVE-2020-26104', 'CVE-2020-26105', 'CVE-2020-26106', 'CVE-2020-26107', 'CVE-2020-26108', 'CVE-2020-26109', 'CVE-2020-26110', 'CVE-2020-26111', 'CVE-2020-26112', 'CVE-2020-26113', 'CVE-2020-26114', 'CVE-2020-26115', 'CVE-2020-29135', 'CVE-2020-29136', 'CVE-2020-29137', 'CVE-2021-26266', 'CVE-2021-26267', 'CVE-2021-31803', 'CVE-2021-38584', 'CVE-2021-38585', 'CVE-2021-38587', 'CVE-2021-38588']",2022-03-20T08:30Z
6,cpe:2.3:a:cpanel:cpanel:70.0.42:*:*:*:*:*:*:*,cPanel 70.0.42,"['CVE-2006-0763', 'CVE-2006-1119', 'CVE-2006-2825', 'CVE-2008-6926', 'CVE-2008-6927', 'CVE-2009-2275', 'CVE-2018-16236', 'CVE-2018-20862', 'CVE-2018-20863', 'CVE-2018-20864', 'CVE-2018-20865', 'CVE-2018-20866', 'CVE-2018-20867', 'CVE-2018-20868', 'CVE-2018-20869', 'CVE-2018-20870', 'CVE-2018-20873', 'CVE-2018-20874', 'CVE-2018-20875', 'CVE-2018-20876', 'CVE-2018-20877', 'CVE-2018-20878', 'CVE-2018-20879', 'CVE-2018-20880', 'CVE-2018-20881', 'CVE-2018-20882', 'CVE-2018-20883', 'CVE-2018-20884', 'CVE-2018-20885', 'CVE-2018-20886', 'CVE-2018-20887', 'CVE-2018-20888', 'CVE-2018-20889', 'CVE-2018-20890', 'CVE-2018-20891', 'CVE-2018-20892', 'CVE-2018-20893', 'CVE-2018-20895', 'CVE-2018-20896', 'CVE-2018-20897', 'CVE-2018-20898', 'CVE-2018-20899', 'CVE-2018-20900', 'CVE-2018-20901', 'CVE-2018-20902', 'CVE-2018-20903', 'CVE-2018-20904', 'CVE-2018-20905', 'CVE-2018-20906', 'CVE-2018-20907', 'CVE-2018-20908', 'CVE-2019-14386', 'CVE-2019-14387', 'CVE-2019-14388', 'CVE-2019-14389', 'CVE-2019-14390', 'CVE-2019-14391', 'CVE-2019-14392', 'CVE-2019-14393', 'CVE-2019-14394', 'CVE-2019-14395', 'CVE-2019-14396', 'CVE-2019-14397', 'CVE-2019-14398', 'CVE-2019-14399', 'CVE-2019-14400', 'CVE-2019-14401', 'CVE-2019-14402', 'CVE-2019-14403', 'CVE-2019-14404', 'CVE-2019-14405', 'CVE-2019-14406', 'CVE-2019-14407', 'CVE-2019-14408', 'CVE-2019-14409', 'CVE-2019-14410', 'CVE-2019-14411', 'CVE-2019-14412', 'CVE-2019-14413', 'CVE-2019-14414', 'CVE-2019-17380', 'CVE-2020-10119', 'CVE-2020-10120', 'CVE-2020-26098', 'CVE-2020-26099', 'CVE-2020-26100', 'CVE-2020-26101', 'CVE-2020-26102', 'CVE-2020-26103', 'CVE-2020-26104', 'CVE-2020-26105', 'CVE-2020-26106', 'CVE-2020-26107', 'CVE-2020-26108', 'CVE-2020-26109', 'CVE-2020-26110', 'CVE-2020-26111', 'CVE-2020-26112', 'CVE-2020-26113', 'CVE-2020-26114', 'CVE-2020-26115', 'CVE-2020-29135', 'CVE-2020-29136', 'CVE-2020-29137', 'CVE-2021-26266', 'CVE-2021-26267', 'CVE-2021-31803', 'CVE-2021-38584', 'CVE-2021-38585', 'CVE-2021-38587', 'CVE-2021-38588']",2022-03-20T08:30Z
7,cpe:2.3:a:cpanel:cpanel:70.0.43:*:*:*:*:*:*:*,cPanel 70.0.43,"['CVE-2006-0763', 'CVE-2006-1119', 'CVE-2006-2825', 'CVE-2008-6926', 'CVE-2008-6927', 'CVE-2009-2275', 'CVE-2018-16236', 'CVE-2018-20862', 'CVE-2018-20863', 'CVE-2018-20864', 'CVE-2018-20865', 'CVE-2018-20866', 'CVE-2018-20867', 'CVE-2018-20868', 'CVE-2018-20869', 'CVE-2018-20870', 'CVE-2018-20873', 'CVE-2018-20874', 'CVE-2018-20875', 'CVE-2018-20876', 'CVE-2018-20877', 'CVE-2018-20878', 'CVE-2018-20879', 'CVE-2018-20880', 'CVE-2018-20881', 'CVE-2018-20882', 'CVE-2018-20883', 'CVE-2018-20884', 'CVE-2018-20885', 'CVE-2018-20886', 'CVE-2018-20887', 'CVE-2018-20888', 'CVE-2018-20889', 'CVE-2018-20890', 'CVE-2018-20891', 'CVE-2018-20892', 'CVE-2018-20893', 'CVE-2018-20901', 'CVE-2018-20902', 'CVE-2018-20903', 'CVE-2019-14386', 'CVE-2019-14387', 'CVE-2019-14388', 'CVE-2019-14389', 'CVE-2019-14390', 'CVE-2019-14391', 'CVE-2019-14392', 'CVE-2019-14393', 'CVE-2019-14394', 'CVE-2019-14395', 'CVE-2019-14396', 'CVE-2019-14397', 'CVE-2019-14398', 'CVE-2019-14399', 'CVE-2019-14400', 'CVE-2019-14401', 'CVE-2019-14402', 'CVE-2019-14403', 'CVE-2019-14404', 'CVE-2019-14405', 'CVE-2019-14406', 'CVE-2019-14407', 'CVE-2019-14408', 'CVE-2019-14409', 'CVE-2019-14410', 'CVE-2019-14411', 'CVE-2019-14412', 'CVE-2019-14413', 'CVE-2019-14414', 'CVE-2019-17380', 'CVE-2020-10119', 'CVE-2020-10120', 'CVE-2020-26098', 'CVE-2020-26099', 'CVE-2020-26100', 'CVE-2020-26101', 'CVE-2020-26102', 'CVE-2020-26103', 'CVE-2020-26104', 'CVE-2020-26105', 'CVE-2020-26106', 'CVE-2020-26107', 'CVE-2020-26108', 'CVE-2020-26109', 'CVE-2020-26110', 'CVE-2020-26111', 'CVE-2020-26112', 'CVE-2020-26113', 'CVE-2020-26114', 'CVE-2020-26115', 'CVE-2020-29135', 'CVE-2020-29136', 'CVE-2020-29137', 'CVE-2021-26266', 'CVE-2021-26267', 'CVE-2021-31803', 'CVE-2021-38584', 'CVE-2021-38585', 'CVE-2021-38587', 'CVE-2021-38588']",2022-03-20T08:30Z
8,cpe:2.3:a:cpanel:cpanel:70.0.44:*:*:*:*:*:*:*,cPanel 70.0.44,"['CVE-2006-0763', 'CVE-2006-1119', 'CVE-2006-2825', 'CVE-2008-6926', 'CVE-2008-6927', 'CVE-2009-2275', 'CVE-2018-16236', 'CVE-2018-20862', 'CVE-2018-20863', 'CVE-2018-20864', 'CVE-2018-20865', 'CVE-2018-20866', 'CVE-2018-20867', 'CVE-2018-20868', 'CVE-2018-20869', 'CVE-2018-20870', 'CVE-2018-20873', 'CVE-2018-20874', 'CVE-2018-20875', 'CVE-2018-20876', 'CVE-2018-20877', 'CVE-2018-20878', 'CVE-2018-20879', 'CVE-2018-20880', 'CVE-2018-20881', 'CVE-2018-20882', 'CVE-2018-20883', 'CVE-2018-20884', 'CVE-2018-20885', 'CVE-2018-20886', 'CVE-2018-20887', 'CVE-2018-20888', 'CVE-2018-20889', 'CVE-2018-20890', 'CVE-2018-20891', 'CVE-2018-20892', 'CVE-2018-20893', 'CVE-2018-20901', 'CVE-2018-20902', 'CVE-2018-20903', 'CVE-2019-14386', 'CVE-2019-14387', 'CVE-2019-14388', 'CVE-2019-14389', 'CVE-2019-14390', 'CVE-2019-14391', 'CVE-2019-14392', 'CVE-2019-14393', 'CVE-2019-14394', 'CVE-2019-14395', 'CVE-2019-14396', 'CVE-2019-14397', 'CVE-2019-14398', 'CVE-2019-14399', 'CVE-2019-14400', 'CVE-2019-14401', 'CVE-2019-14402', 'CVE-2019-14403', 'CVE-2019-14404', 'CVE-2019-14405', 'CVE-2019-14406', 'CVE-2019-14407', 'CVE-2019-14408', 'CVE-2019-14409', 'CVE-2019-14410', 'CVE-2019-14411', 'CVE-2019-14412', 'CVE-2019-14413', 'CVE-2019-14414', 'CVE-2019-17380', 'CVE-2020-10119', 'CVE-2020-10120', 'CVE-2020-26098', 'CVE-2020-26099', 'CVE-2020-26100', 'CVE-2020-26101', 'CVE-2020-26102', 'CVE-2020-26103', 'CVE-2020-26104', 'CVE-2020-26105', 'CVE-2020-26106', 'CVE-2020-26107', 'CVE-2020-26108', 'CVE-2020-26109', 'CVE-2020-26110', 'CVE-2020-26111', 'CVE-2020-26112', 'CVE-2020-26113', 'CVE-2020-26114', 'CVE-2020-26115', 'CVE-2020-29135', 'CVE-2020-29136', 'CVE-2020-29137', 'CVE-2021-26266', 'CVE-2021-26267', 'CVE-2021-31803', 'CVE-2021-38584', 'CVE-2021-38585', 'CVE-2021-38587', 'CVE-2021-38588']",2022-03-20T08:30Z
9,cpe:2.3:a:cpanel:cpanel:70.0.46:*:*:*:*:*:*:*,cPanel 70.0.46,"['CVE-2006-0763', 'CVE-2006-1119', 'CVE-2006-2825', 'CVE-2008-6926', 'CVE-2008-6927', 'CVE-2009-2275', 'CVE-2018-16236', 'CVE-2018-20862', 'CVE-2018-20863', 'CVE-2018-20864', 'CVE-2018-20865', 'CVE-2018-20866', 'CVE-2018-20867', 'CVE-2018-20868', 'CVE-2018-20869', 'CVE-2018-20870', 'CVE-2018-20873', 'CVE-2018-20874', 'CVE-2018-20875', 'CVE-2018-20876', 'CVE-2018-20877', 'CVE-2018-20878', 'CVE-2018-20879', 'CVE-2018-20880', 'CVE-2018-20881', 'CVE-2018-20882', 'CVE-2018-20883', 'CVE-2018-20884', 'CVE-2018-20885', 'CVE-2018-20886', 'CVE-2018-20887', 'CVE-2018-20888', 'CVE-2018-20889', 'CVE-2018-20890', 'CVE-2018-20891', 'CVE-2018-20892', 'CVE-2018-20893', 'CVE-2018-20901', 'CVE-2018-20902', 'CVE-2018-20903', 'CVE-2019-14386', 'CVE-2019-14387', 'CVE-2019-14388', 'CVE-2019-14389', 'CVE-2019-14390', 'CVE-2019-14391', 'CVE-2019-14392', 'CVE-2019-14393', 'CVE-2019-14394', 'CVE-2019-14395', 'CVE-2019-14396', 'CVE-2019-14397', 'CVE-2019-14398', 'CVE-2019-14399', 'CVE-2019-14400', 'CVE-2019-14401', 'CVE-2019-14402', 'CVE-2019-14403', 'CVE-2019-14404', 'CVE-2019-14405', 'CVE-2019-14406', 'CVE-2019-14407', 'CVE-2019-14408', 'CVE-2019-14409', 'CVE-2019-14410', 'CVE-2019-14411', 'CVE-2019-14412', 'CVE-2019-14413', 'CVE-2019-14414', 'CVE-2019-17380', 'CVE-2020-10119', 'CVE-2020-10120', 'CVE-2020-26098', 'CVE-2020-26099', 'CVE-2020-26100', 'CVE-2020-26101', 'CVE-2020-26102', 'CVE-2020-26103', 'CVE-2020-26104', 'CVE-2020-26105', 'CVE-2020-26106', 'CVE-2020-26107', 'CVE-2020-26108', 'CVE-2020-26109', 'CVE-2020-26110', 'CVE-2020-26111', 'CVE-2020-26112', 'CVE-2020-26113', 'CVE-2020-26114', 'CVE-2020-26115', 'CVE-2020-29135', 'CVE-2020-29136', 'CVE-2020-29137', 'CVE-2021-26266', 'CVE-2021-26267', 'CVE-2021-31803', 'CVE-2021-38584', 'CVE-2021-38585', 'CVE-2021-38587', 'CVE-2021-38588']",2022-03-20T08:30Z
